,Ticker_Symbol,Years,Period_Ending,Total_Revenue,Cost_of_Goods_Sold,"_Sales,_General_and_Admin._",Research_and_Development,Other_Operating_Items,GICS_Sector,GICS_Sub_Industry,operating income,Years,Gross_profit,operating expenditure
25,ADBE,Year 2,11/28/2014,"4,147,065,000.00","622,080,000.00","2,195,640,000.00","844,353,000.00","52,424,000.00",Information Technology,Application Software,"432,568,000.00",2014,"3,524,985,000.00","3,092,417,000.00"
26,ADBE,Year 3,11/27/2015,"4,795,511,000.00","744,317,000.00","2,215,161,000.00","862,730,000.00","68,649,000.00",Information Technology,Application Software,"904,654,000.00",2015,"4,051,194,000.00","3,146,540,000.00"
27,ADBE,Year 4,12/2/2016,"5,854,430,000.00","819,908,000.00","2,487,907,000.00","975,987,000.00","78,534,000.00",Information Technology,Application Software,"1,492,094,000.00",2016,"5,034,522,000.00","3,542,428,000.00"
28,ADI,Year 1,11/2/2013,"2,633,689,000.00","941,278,000.00","396,233,000.00","513,035,000.00","220,000.00",Information Technology,Semiconductors,"782,923,000.00",2013,"1,692,411,000.00","909,488,000.00"
29,ADI,Year 2,11/1/2014,"2,864,773,000.00","1,034,585,000.00","454,676,000.00","559,686,000.00","26,020,000.00",Information Technology,Semiconductors,"789,806,000.00",2014,"1,830,188,000.00","1,040,382,000.00"
30,ADI,Year 3,10/31/2015,"3,435,092,000.00","1,175,830,000.00","702,644,000.00","637,459,000.00","88,318,000.00",Information Technology,Semiconductors,"830,841,000.00",2015,"2,259,262,000.00","1,428,421,000.00"
31,ADI,Year 4,10/29/2016,"3,421,409,000.00","1,194,236,000.00","461,438,000.00","653,816,000.00","70,123,000.00",Information Technology,Semiconductors,"1,041,796,000.00",2016,"2,227,173,000.00","1,185,377,000.00"
32,ADM,Year 1,12/31/2012,"90,559,000,000.00","86,936,000,000.00","1,665,000,000.00",0.00,0.00,Consumer Staples,Agricultural Products,"1,958,000,000.00",2012,"3,623,000,000.00","1,665,000,000.00"
33,ADM,Year 2,12/31/2013,"89,804,000,000.00","85,915,000,000.00","1,759,000,000.00",0.00,0.00,Consumer Staples,Agricultural Products,"2,130,000,000.00",2013,"3,889,000,000.00","1,759,000,000.00"
34,ADM,Year 3,12/31/2014,"81,201,000,000.00","76,433,000,000.00","1,907,000,000.00",0.00,0.00,Consumer Staples,Agricultural Products,"2,861,000,000.00",2014,"4,768,000,000.00","1,907,000,000.00"
35,ADM,Year 4,12/31/2015,"67,702,000,000.00","63,682,000,000.00","2,010,000,000.00",0.00,0.00,Consumer Staples,Agricultural Products,"2,010,000,000.00",2015,"4,020,000,000.00","2,010,000,000.00"
36,ADS,Year 1,12/31/2012,"3,641,390,000.00","2,392,091,000.00","108,059,000.00",0.00,"166,876,000.00",Information Technology,Data Processing & Outsourced Services,"974,364,000.00",2012,"1,249,299,000.00","274,935,000.00"
37,ADS,Year 2,12/31/2013,"4,319,063,000.00","2,894,917,000.00","109,115,000.00",0.00,"216,119,000.00",Information Technology,Data Processing & Outsourced Services,"1,098,912,000.00",2013,"1,424,146,000.00","325,234,000.00"
38,ADS,Year 3,12/31/2014,"5,302,940,000.00","3,643,979,000.00","247,412,000.00",0.00,"313,082,000.00",Information Technology,Data Processing & Outsourced Services,"1,098,467,000.00",2014,"1,658,961,000.00","560,494,000.00"
39,ADS,Year 4,12/31/2015,"6,439,746,000.00","4,482,700,000.00","203,046,000.00",0.00,"492,140,000.00",Information Technology,Data Processing & Outsourced Services,"1,261,860,000.00",2015,"1,957,046,000.00","695,186,000.00"
40,ADSK,Year 1,1/31/2013,"2,312,200,000.00","238,500,000.00","1,081,800,000.00","600,000,000.00","42,100,000.00",Information Technology,Application Software,"349,800,000.00",2013,"2,073,700,000.00","1,723,900,000.00"
41,ADSK,Year 2,1/31/2014,"2,273,900,000.00","274,300,000.00","1,054,400,000.00","611,100,000.00","36,500,000.00",Information Technology,Application Software,"297,600,000.00",2014,"1,999,600,000.00","1,702,000,000.00"
42,ADSK,Year 3,1/31/2015,"2,512,200,000.00","342,100,000.00","1,281,300,000.00","725,200,000.00","39,800,000.00",Information Technology,Application Software,"123,800,000.00",2015,"2,170,100,000.00","2,046,300,000.00"
43,ADSK,Year 4,1/31/2016,"2,504,100,000.00","370,700,000.00","1,308,900,000.00","790,000,000.00","33,200,000.00",Information Technology,Application Software,"1,300,000.00",2016,"2,133,400,000.00","2,132,100,000.00"
44,AEE,Year 1,12/31/2012,"5,781,000,000.00","3,477,000,000.00","443,000,000.00",0.00,"673,000,000.00",Utilities,MultiUtilities,"1,188,000,000.00",2012,"2,304,000,000.00","1,116,000,000.00"
45,AEE,Year 2,12/31/2013,"5,838,000,000.00","3,490,000,000.00","458,000,000.00",0.00,"706,000,000.00",Utilities,MultiUtilities,"1,184,000,000.00",2013,"2,348,000,000.00","1,164,000,000.00"
46,AEE,Year 3,12/31/2014,"6,053,000,000.00","3,586,000,000.00","468,000,000.00",0.00,"745,000,000.00",Utilities,MultiUtilities,"1,254,000,000.00",2014,"2,467,000,000.00","1,213,000,000.00"
47,AEE,Year 4,12/31/2015,"6,098,000,000.00","3,501,000,000.00","542,000,000.00",0.00,"796,000,000.00",Utilities,MultiUtilities,"1,259,000,000.00",2015,"2,597,000,000.00","1,338,000,000.00"
48,AEP,Year 1,12/31/2012,"14,945,000,000.00","6,395,000,000.00","3,812,000,000.00",0.00,"1,782,000,000.00",Utilities,Electric Utilities,"2,956,000,000.00",2012,"8,550,000,000.00","5,594,000,000.00"
49,AEP,Year 2,12/31/2013,"14,813,500,000.00","6,722,300,000.00","3,329,800,000.00",0.00,"1,712,500,000.00",Utilities,Electric Utilities,"3,048,900,000.00",2013,"8,091,200,000.00","5,042,300,000.00"
50,AEP,Year 3,12/31/2014,"16,378,600,000.00","7,685,700,000.00","3,667,900,000.00",0.00,"1,897,600,000.00",Utilities,Electric Utilities,"3,127,400,000.00",2014,"8,692,900,000.00","5,565,500,000.00"
51,AEP,Year 4,12/31/2015,"16,453,200,000.00","7,433,500,000.00","3,676,500,000.00",0.00,"2,009,700,000.00",Utilities,Electric Utilities,"3,333,500,000.00",2015,"9,019,700,000.00","5,686,200,000.00"
52,AFL,Year 1,12/31/2012,"25,364,000,000.00","17,074,000,000.00",0.00,0.00,"3,727,000,000.00",Financials,Life & Health Insurance,"4,563,000,000.00",2012,"8,290,000,000.00","3,727,000,000.00"
53,AFL,Year 2,12/31/2013,"23,939,000,000.00","15,341,000,000.00",0.00,0.00,"3,489,000,000.00",Financials,Life & Health Insurance,"5,109,000,000.00",2013,"8,598,000,000.00","3,489,000,000.00"
54,AFL,Year 3,12/31/2014,"22,728,000,000.00","14,373,000,000.00",0.00,0.00,"3,547,000,000.00",Financials,Life & Health Insurance,"4,808,000,000.00",2014,"8,355,000,000.00","3,547,000,000.00"
55,AFL,Year 4,12/31/2015,"20,872,000,000.00","13,049,000,000.00",0.00,0.00,"3,672,000,000.00",Financials,Life & Health Insurance,"4,151,000,000.00",2015,"7,823,000,000.00","3,672,000,000.00"
56,AIG,Year 1,12/31/2012,"71,214,000,000.00","37,745,000,000.00","21,491,000,000.00",0.00,0.00,Financials,Property & Casualty Insurance,"11,978,000,000.00",2012,"33,469,000,000.00","21,491,000,000.00"
57,AIG,Year 2,12/31/2013,"68,874,000,000.00","34,660,000,000.00","22,005,000,000.00",0.00,0.00,Financials,Property & Casualty Insurance,"12,209,000,000.00",2013,"34,214,000,000.00","22,005,000,000.00"
58,AIG,Year 3,12/31/2014,"64,406,000,000.00","33,611,000,000.00","18,491,000,000.00",0.00,0.00,Financials,Property & Casualty Insurance,"12,304,000,000.00",2014,"30,795,000,000.00","18,491,000,000.00"
59,AIG,Year 4,12/31/2015,"58,327,000,000.00","36,581,000,000.00","16,417,000,000.00",0.00,0.00,Financials,Property & Casualty Insurance,"5,329,000,000.00",2015,"21,746,000,000.00","16,417,000,000.00"
60,AIV,Year 1,12/31/2012,"958,511,000.00","386,355,000.00","61,732,000.00",0.00,"325,173,000.00",Real Estate,REITs,"185,251,000.00",2012,"572,156,000.00","386,905,000.00"
61,AIV,Year 2,12/31/2013,"974,053,000.00","380,051,000.00","53,073,000.00",0.00,"291,910,000.00",Real Estate,REITs,"249,019,000.00",2013,"594,002,000.00","344,983,000.00"
62,AIV,Year 3,12/31/2014,"984,363,000.00","380,964,000.00","56,621,000.00",0.00,"282,608,000.00",Real Estate,REITs,"264,170,000.00",2014,"603,399,000.00","339,229,000.00"
63,AIV,Year 4,12/31/2015,"981,310,000.00","365,248,000.00","53,546,000.00",0.00,"306,301,000.00",Real Estate,REITs,"256,215,000.00",2015,"616,062,000.00","359,847,000.00"
64,AIZ,Year 1,12/31/2013,"9,047,657,000.00","6,709,936,000.00",0.00,0.00,"1,470,287,000.00",Financials,Multi-line Insurance,"867,434,000.00",2013,"2,337,721,000.00","1,470,287,000.00"
65,AIZ,Year 2,12/31/2014,"10,381,653,000.00","8,093,563,000.00",0.00,0.00,"1,485,558,000.00",Financials,Multi-line Insurance,"802,532,000.00",2014,"2,288,090,000.00","1,485,558,000.00"
66,AIZ,Year 3,12/31/2015,"10,325,494,000.00","8,666,624,000.00",0.00,0.00,"1,402,573,000.00",Financials,Multi-line Insurance,"256,297,000.00",2015,"1,658,870,000.00","1,402,573,000.00"
67,AIZ,Year 4,12/31/2016,"7,531,780,000.00","5,251,228,000.00",0.00,0.00,"1,351,314,000.00",Financials,Multi-line Insurance,"929,238,000.00",2016,"2,280,552,000.00","1,351,314,000.00"
72,AKAM,Year 1,12/31/2012,"1,373,947,000.00","529,900,000.00","433,448,000.00","74,744,000.00","20,962,000.00",Information Technology,Internet Software & Services,"314,893,000.00",2012,"844,047,000.00","529,154,000.00"
73,AKAM,Year 2,12/31/2013,"1,577,922,000.00","511,087,000.00","535,598,000.00","93,879,000.00","21,547,000.00",Information Technology,Internet Software & Services,"415,811,000.00",2013,"1,066,835,000.00","651,024,000.00"
74,AKAM,Year 3,12/31/2014,"1,963,874,000.00","610,943,000.00","704,880,000.00","125,286,000.00","32,057,000.00",Information Technology,Internet Software & Services,"490,708,000.00",2014,"1,352,931,000.00","862,223,000.00"
75,AKAM,Year 4,12/31/2015,"2,197,448,000.00","725,620,000.00","829,253,000.00","148,591,000.00","27,067,000.00",Information Technology,Internet Software & Services,"466,917,000.00",2015,"1,471,828,000.00","1,004,911,000.00"
76,ALB,Year 1,12/31/2012,"2,519,154,000.00","1,620,311,000.00","308,456,000.00","78,919,000.00",0.00,Materials,Specialty Chemicals,"511,468,000.00",2012,"898,843,000.00","387,375,000.00"
77,ALB,Year 2,12/31/2013,"2,394,270,000.00","1,543,799,000.00","158,189,000.00","82,246,000.00",0.00,Materials,Specialty Chemicals,"610,036,000.00",2013,"850,471,000.00","240,435,000.00"
78,ALB,Year 3,12/31/2014,"2,445,548,000.00","1,674,700,000.00","355,135,000.00","88,310,000.00",0.00,Materials,Specialty Chemicals,"327,403,000.00",2014,"770,848,000.00","443,445,000.00"
79,ALB,Year 4,12/31/2015,"3,651,335,000.00","2,454,463,000.00","512,274,000.00","102,871,000.00",0.00,Materials,Specialty Chemicals,"581,727,000.00",2015,"1,196,872,000.00","615,145,000.00"
80,ALK,Year 1,12/31/2012,"4,657,000,000.00","2,319,000,000.00","1,542,000,000.00",0.00,"264,000,000.00",Industrials,Airlines,"532,000,000.00",2012,"2,338,000,000.00","1,806,000,000.00"
81,ALK,Year 2,12/31/2013,"5,156,000,000.00","2,355,000,000.00","1,693,000,000.00",0.00,"270,000,000.00",Industrials,Airlines,"838,000,000.00",2013,"2,801,000,000.00","1,963,000,000.00"
82,ALK,Year 3,12/31/2014,"5,368,000,000.00","2,325,000,000.00","1,817,000,000.00",0.00,"294,000,000.00",Industrials,Airlines,"932,000,000.00",2014,"3,043,000,000.00","2,111,000,000.00"
83,ALK,Year 4,12/31/2015,"5,598,000,000.00","1,935,000,000.00","2,013,000,000.00",0.00,"320,000,000.00",Industrials,Airlines,"1,330,000,000.00",2015,"3,663,000,000.00","2,333,000,000.00"
84,ALL,Year 1,12/31/2012,"33,315,000,000.00","21,618,000,000.00",0.00,0.00,"8,002,000,000.00",Financials,Property & Casualty Insurance,"3,695,000,000.00",2012,"11,697,000,000.00","8,002,000,000.00"
85,ALL,Year 2,12/31/2013,"34,507,000,000.00","19,828,000,000.00","1,278,000,000.00",0.00,"8,389,000,000.00",Financials,Property & Casualty Insurance,"5,012,000,000.00",2013,"14,679,000,000.00","9,667,000,000.00"
86,ALL,Year 3,12/31/2014,"35,239,000,000.00","21,193,000,000.00","919,000,000.00",0.00,"8,476,000,000.00",Financials,Property & Casualty Insurance,"4,651,000,000.00",2014,"14,046,000,000.00","9,395,000,000.00"
87,ALL,Year 4,12/31/2015,"35,653,000,000.00","22,837,000,000.00","761,000,000.00",0.00,"8,445,000,000.00",Financials,Property & Casualty Insurance,"3,610,000,000.00",2015,"12,816,000,000.00","9,206,000,000.00"
88,ALLE,Year 1,12/31/2013,"2,069,600,000.00","1,208,100,000.00","483,100,000.00",0.00,0.00,Industrials,Building Products,"378,400,000.00",2013,"861,500,000.00","483,100,000.00"
89,ALLE,Year 2,12/31/2014,"2,118,300,000.00","1,264,600,000.00","527,400,000.00",0.00,0.00,Industrials,Building Products,"326,300,000.00",2014,"853,700,000.00","527,400,000.00"
90,ALLE,Year 3,12/31/2015,"2,068,100,000.00","1,199,000,000.00","510,500,000.00",0.00,0.00,Industrials,Building Products,"358,600,000.00",2015,"869,100,000.00","510,500,000.00"
91,ALLE,Year 4,12/31/2016,"2,238,000,000.00","1,252,700,000.00","559,800,000.00",0.00,0.00,Industrials,Building Products,"425,500,000.00",2016,"985,300,000.00","559,800,000.00"
92,ALXN,Year 1,12/31/2013,"1,551,346,000.00","177,556,000.00","493,726,000.00","317,093,000.00","417,000.00",Health Care,Biotechnology,"562,554,000.00",2013,"1,373,790,000.00","811,236,000.00"
93,ALXN,Year 2,12/31/2014,"2,234,000,000.00","174,000,000.00","650,000,000.00","514,000,000.00",0.00,Health Care,Biotechnology,"896,000,000.00",2014,"2,060,000,000.00","1,164,000,000.00"
94,ALXN,Year 3,12/31/2015,"2,604,000,000.00","233,000,000.00","927,000,000.00","709,000,000.00","117,000,000.00",Health Care,Biotechnology,"618,000,000.00",2015,"2,371,000,000.00","1,753,000,000.00"
95,ALXN,Year 4,12/31/2016,"3,084,000,000.00","258,000,000.00","990,000,000.00","757,000,000.00","322,000,000.00",Health Care,Biotechnology,"757,000,000.00",2016,"2,826,000,000.00","2,069,000,000.00"
96,AMAT,Year 1,10/27/2013,"7,509,000,000.00","4,518,000,000.00","898,000,000.00","1,320,000,000.00",0.00,Information Technology,Semiconductor Equipment,"773,000,000.00",2013,"2,991,000,000.00","2,218,000,000.00"
97,AMAT,Year 2,10/26/2014,"9,072,000,000.00","5,229,000,000.00","895,000,000.00","1,428,000,000.00",0.00,Information Technology,Semiconductor Equipment,"1,520,000,000.00",2014,"3,843,000,000.00","2,323,000,000.00"
98,AMAT,Year 3,10/25/2015,"9,659,000,000.00","5,707,000,000.00","808,000,000.00","1,451,000,000.00",0.00,Information Technology,Semiconductor Equipment,"1,693,000,000.00",2015,"3,952,000,000.00","2,259,000,000.00"
99,AMAT,Year 4,10/30/2016,"10,825,000,000.00","6,314,000,000.00","819,000,000.00","1,540,000,000.00",0.00,Information Technology,Semiconductor Equipment,"2,152,000,000.00",2016,"4,511,000,000.00","2,359,000,000.00"
100,AME,Year 1,12/31/2012,"3,334,213,000.00","2,154,132,000.00","380,532,000.00",0.00,"53,677,000.00",Industrials,Electrical Components & Equipment,"745,872,000.00",2012,"1,180,081,000.00","434,209,000.00"
101,AME,Year 2,12/31/2013,"3,594,136,000.00","2,323,642,000.00","398,177,000.00",0.00,"57,238,000.00",Industrials,Electrical Components & Equipment,"815,079,000.00",2013,"1,270,494,000.00","455,415,000.00"
102,AME,Year 3,12/31/2014,"4,021,964,000.00","2,597,017,000.00","462,637,000.00",0.00,"63,724,000.00",Industrials,Electrical Components & Equipment,"898,586,000.00",2014,"1,424,947,000.00","526,361,000.00"
103,AME,Year 4,12/31/2015,"3,974,295,000.00","2,549,280,000.00","448,592,000.00",0.00,"68,707,000.00",Industrials,Electrical Components & Equipment,"907,716,000.00",2015,"1,425,015,000.00","517,299,000.00"
108,AMGN,Year 1,12/31/2013,"18,676,000,000.00","3,346,000,000.00","5,380,000,000.00","4,083,000,000.00",0.00,Health Care,Biotechnology,"5,867,000,000.00",2013,"15,330,000,000.00","9,463,000,000.00"
109,AMGN,Year 2,12/31/2014,"20,063,000,000.00","4,422,000,000.00","5,153,000,000.00","4,297,000,000.00",0.00,Health Care,Biotechnology,"6,191,000,000.00",2014,"15,641,000,000.00","9,450,000,000.00"
110,AMGN,Year 3,12/31/2015,"21,662,000,000.00","4,227,000,000.00","4,895,000,000.00","4,070,000,000.00",0.00,Health Care,Biotechnology,"8,470,000,000.00",2015,"17,435,000,000.00","8,965,000,000.00"
111,AMGN,Year 4,12/31/2016,"22,991,000,000.00","4,162,000,000.00","5,195,000,000.00","3,840,000,000.00",0.00,Health Care,Biotechnology,"9,794,000,000.00",2016,"18,829,000,000.00","9,035,000,000.00"
112,AMP,Year 1,12/31/2012,"10,259,000,000.00","1,899,000,000.00","3,927,000,000.00",0.00,"2,877,000,000.00",Financials,Asset Management & Custody Banks,"1,556,000,000.00",2012,"8,360,000,000.00","6,804,000,000.00"
113,AMP,Year 2,12/31/2013,"11,230,000,000.00","1,954,000,000.00","3,862,000,000.00",0.00,"3,132,000,000.00",Financials,Asset Management & Custody Banks,"2,282,000,000.00",2013,"9,276,000,000.00","6,994,000,000.00"
114,AMP,Year 3,12/31/2014,"12,296,000,000.00","1,982,000,000.00","3,808,000,000.00",0.00,"3,603,000,000.00",Financials,Asset Management & Custody Banks,"2,903,000,000.00",2014,"10,314,000,000.00","7,411,000,000.00"
115,AMP,Year 4,12/31/2015,"12,200,000,000.00","2,261,000,000.00","3,750,000,000.00",0.00,"3,630,000,000.00",Financials,Asset Management & Custody Banks,"2,559,000,000.00",2015,"9,939,000,000.00","7,380,000,000.00"
116,AMT,Year 1,12/31/2012,"2,875,960,000.00","722,479,000.00","389,486,000.00",0.00,"644,276,000.00",Real Estate,Specialized REITs,"1,119,719,000.00",2012,"2,153,481,000.00","1,033,762,000.00"
117,AMT,Year 2,12/31/2013,"3,361,407,000.00","859,873,000.00","487,084,000.00",0.00,"800,145,000.00",Real Estate,Specialized REITs,"1,214,305,000.00",2013,"2,501,534,000.00","1,287,229,000.00"
118,AMT,Year 3,12/31/2014,"4,100,048,000.00","1,094,265,000.00","515,059,000.00",0.00,"1,003,802,000.00",Real Estate,Specialized REITs,"1,486,922,000.00",2014,"3,005,783,000.00","1,518,861,000.00"
119,AMT,Year 4,12/31/2015,"4,771,516,000.00","1,308,868,000.00","564,531,000.00",0.00,"1,285,328,000.00",Real Estate,Specialized REITs,"1,612,789,000.00",2015,"3,462,648,000.00","1,849,859,000.00"
120,AMZN,Year 1,12/31/2013,"74,452,000,000.00","54,181,000,000.00","19,526,000,000.00",0.00,0.00,Consumer Discretionary,Internet & Direct Marketing Retail,"745,000,000.00",2013,"20,271,000,000.00","19,526,000,000.00"
121,AMZN,Year 2,12/31/2014,"88,988,000,000.00","62,752,000,000.00","26,058,000,000.00",0.00,0.00,Consumer Discretionary,Internet & Direct Marketing Retail,"178,000,000.00",2014,"26,236,000,000.00","26,058,000,000.00"
122,AMZN,Year 3,12/31/2015,"107,006,000,000.00","71,651,000,000.00","33,122,000,000.00",0.00,0.00,Consumer Discretionary,Internet & Direct Marketing Retail,"2,233,000,000.00",2015,"35,355,000,000.00","33,122,000,000.00"
123,AMZN,Year 4,12/31/2016,"135,987,000,000.00","88,265,000,000.00","43,536,000,000.00",0.00,0.00,Consumer Discretionary,Internet & Direct Marketing Retail,"4,186,000,000.00",2016,"47,722,000,000.00","43,536,000,000.00"
124,AN,Year 1,12/31/2013,"17,517,600,000.00","14,757,700,000.00","1,924,300,000.00",0.00,"95,300,000.00",Consumer Discretionary,Specialty Stores,"740,300,000.00",2013,"2,759,900,000.00","2,019,600,000.00"
125,AN,Year 2,12/31/2014,"19,108,800,000.00","16,120,100,000.00","2,061,000,000.00",0.00,"106,900,000.00",Consumer Discretionary,Specialty Stores,"820,800,000.00",2014,"2,988,700,000.00","2,167,900,000.00"
126,AN,Year 3,12/31/2015,"20,862,000,000.00","17,600,500,000.00","2,245,600,000.00",0.00,"127,400,000.00",Consumer Discretionary,Specialty Stores,"888,500,000.00",2015,"3,261,500,000.00","2,373,000,000.00"
127,AN,Year 4,12/31/2016,"21,609,000,000.00","18,295,800,000.00","2,280,300,000.00",0.00,"143,400,000.00",Consumer Discretionary,Specialty Stores,"889,500,000.00",2016,"3,313,200,000.00","2,423,700,000.00"
128,ANTM,Year 1,12/31/2012,"61,497,200,000.00","48,213,600,000.00","8,680,500,000.00",0.00,"233,000,000.00",Health Care,Managed Health Care,"4,370,100,000.00",2012,"13,283,600,000.00","8,913,500,000.00"
129,ANTM,Year 2,12/31/2013,"71,023,500,000.00","56,237,100,000.00","9,952,900,000.00",0.00,"245,300,000.00",Health Care,Managed Health Care,"4,588,200,000.00",2013,"14,786,400,000.00","10,198,200,000.00"
130,ANTM,Year 3,12/31/2014,"73,874,100,000.00","56,854,900,000.00","11,748,400,000.00",0.00,"220,900,000.00",Health Care,Managed Health Care,"5,049,900,000.00",2014,"17,019,200,000.00","11,969,300,000.00"
131,ANTM,Year 4,12/31/2015,"79,156,500,000.00","61,116,900,000.00","12,534,800,000.00",0.00,"230,100,000.00",Health Care,Managed Health Care,"5,274,700,000.00",2015,"18,039,600,000.00","12,764,900,000.00"
136,APA,Year 1,12/31/2012,"16,428,000,000.00","3,079,000,000.00","1,333,000,000.00",0.00,"6,881,000,000.00",Energy,Oil & Gas Exploration & Production,"5,135,000,000.00",2012,"13,349,000,000.00","8,214,000,000.00"
